name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalAssets,9160000000,9220000000,9288000000,9378000000,9137000000,9342000000,8895900000,8604200000,8058400000,8602900000,8366800000,8575300000,8604500000,8687000000,8769200000,8822000000,10372800000,10374500000,11199000000,10850000000,11594000000,11656100000,11952400000,11451400000,11682400000,4402900000,4402200000,4496756000,4384830000,4650265000,4884061000,5072373000,5089433000,5078047000,5009979000,4874683000,4902128000,4972297000,4977422000,4870756000,5015061000,4755398000,4833711000,3656643000,3437049000,3257951000,3195156000,2797267000,2986747000,3087932000,3067109000,2898479000,2760789000,2830400000,2661311000,2993208000,2915005000,2675569000,2614917000,2388570000,2294758000,2181350000,2566935000,2566713000,2442154000,2407329000,2465818000,2572322000,2696417000,2798145000,2618037000,2535200000,2515283000,2445587000,2332405000,2304209000,2188898000,2087033000,1996099000,1970753000,1816305000,1798151000,1219171000,1162823000,1075807000,866615000,844586000,851007000,843558000,859600000,882200000,881300000,875800000,895300000,889500000,869300000,803200000,774400000,759500000,740100000,743700000,667700000,665900000,660900000,654800000,597700000,579800000,595600000,496300000,474600000,498500000,500700000,492900000,504600000,499200000,486300000,128800000,124100000,118600000,99800000,92900000,80800000,71700000,76800000,77400000,79100000,79400000,26700000,23400000,23900000,23800000,23200000,13800000,12600000,8700000,7500000
"	CurrentAssets",1886000000,1837000000,1804000000,1785000000,1696000000,1791000000,2579600000,2362900000,1805200000,1999900000,1811300000,1828300000,1795600000,1888000000,1902800000,1892400000,2000500000,2002500000,1972400000,1765700000,1720600000,1882600000,1841600000,1738400000,1805500000,1196700000,1208100000,1270330000,1200082000,1206970000,1257701000,1231274000,1202323000,1143802000,1153145000,1170033000,1160519000,1111096000,1128978000,1105182000,1119185000,1012903000,1089605000,1552413000,1412068000,1315045000,1331557000,1089242000,1178454000,1217796000,1127103000,1032505000,984889000,949862000,972096000,1182087000,1093331000,982022000,973936000,869745000,816401000,718191000,1137007000,1159072000,1064126000,1030043000,986994000,947128000,1025692000,1056409000,954958000,882595000,833644000,727452000,643814000,637295000,577852000,541001000,512079000,522163000,490081000,484243000,363739000,349955000,338935000,325454000,311506000,318970000,307569000,314700000,325000000,326400000,322900000,322500000,329300000,321500000,290000000,277000000,268600000,266800000,264300000,256700000,252000000,254300000,242100000,252200000,244600000,253500000,205900000,196700000,220200000,203300000,195700000,207900000,195900000,187700000,63300000,62200000,59300000,45900000,39200000,39300000,29800000,29200000,29400000,30900000,30700000,15800000,12500000,12600000,12300000,11700000,10900000,9700000,5800000,4900000
"		CashCashEquivalentsAndShortTermInvestments",374000000,339000000,281000000,332000000,318000000,438000000,1272000000,1109100000,235900000,404900000,226100000,250100000,225400000,309600000,233100000,239300000,317100000,375000000,370000000,268400000,363300000,383900000,330700000,311600000,323100000,284600000,236400000,96472000,100619000,209337000,97652000,66929000,55823000,74954000,50658000,57027000,56203000,80132000,56075000,53210000,67346000,77128000,81866000,671710000,575264000,540038000,534243000,340347000,405017000,450385000,333405000,251907000,226486000,204249000,244750000,423251000,344663000,316323000,260742000,180224000,136917000,65143000,460129000,475417000,412719000,434525000,398581000,365675000,436702000,506369000,407350000,344401000,287710000,163755000,91010000,81401000,46178000,25652000,23895000,17686000,19837000,33710000,11879000,16960000,15338000,15433000,8160000,6892000,7298000,7300000,9400000,10800000,9100000,8700000,10300000,6800000,5400000,9800000,7800000,7800000,7400000,5600000,4200000,5400000,3000000,4000000,4200000,6900000,3400000,7300000,2300000,2700000,2600000,18000000,4700000,1700000,300000,700000,2600000,5400000,6400000,9900000,100000,100000,,100000,200000,2100000,100000,,100000,,2700000,2100000,,
"			CashAndCashEquivalents",374000000,339000000,281000000,332000000,318000000,438000000,1272000000,1109100000,235900000,404900000,226100000,250100000,225400000,309600000,233100000,239300000,317100000,320600000,370000000,268400000,363300000,383900000,330700000,311600000,323100000,284600000,236400000,96472000,100619000,151639000,97652000,66929000,55823000,74954000,50658000,57027000,56203000,80132000,56075000,53210000,67346000,77128000,81866000,671710000,575264000,540038000,534243000,340347000,405017000,450348000,333368000,251871000,226299000,203991000,54205000,113454000,90660000,169384000,141821000,69433000,104078000,65064000,331825000,475417000,412719000,434525000,398581000,365675000,436702000,506369000,407350000,344401000,287710000,163755000,91010000,81401000,46178000,25652000,23895000,17686000,19837000,33710000,11879000,16960000,15338000,15433000,8160000,6892000,7298000,7300000,9400000,10800000,9100000,8700000,10300000,6800000,5400000,9800000,7800000,7800000,7400000,5600000,4200000,5400000,3000000,4000000,4200000,6900000,3400000,7300000,2300000,2700000,2600000,18000000,4700000,1700000,300000,700000,2600000,5400000,6400000,9900000,100000,100000,,100000,200000,2100000,100000,,100000,,2700000,2100000,,
"				CashFinancial",,,,,,,1272000000,1109100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"			OtherShortTermInvestments",,,,,,,,,,,,,,0,,,,54400000,,,,,,,,,,,,57698000,,,,,,,,,,,,,,,,,,,,37000,37000,36000,187000,258000,190545000,309797000,254003000,146939000,118921000,110791000,32839000,79000,128304000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		Receivables",707000000,800000000,748000000,678000000,643000000,709000000,628100000,500200000,709100000,782000000,698400000,700100000,658500000,701900000,702000000,710300000,670400000,746200000,734400000,664200000,598600000,636000000,672100000,637200000,625200000,399900000,429800000,447500000,409865000,426606000,476856000,503972000,496221000,472802000,502370000,499006000,468537000,442412000,467296000,462233000,461352000,427709000,475947000,404661000,385357000,344796000,366789000,351304000,355030000,348684000,356976000,357546000,327514000,319260000,345477000,371489000,356629000,307622000,326012000,322900000,311005000,290791000,296066000,299048000,275106000,254822000,259920000,264637000,251259000,238873000,241869000,245439000,248387000,241385000,242937000,243813000,228857000,221262000,208355000,221316000,205958000,191534000,146568000,136452000,136358000,133643000,126729000,131482000,124899000,127900000,132100000,134600000,133200000,134200000,127400000,128200000,120500000,114400000,111400000,107300000,102500000,102000000,95000000,98600000,92000000,93300000,89500000,94100000,84100000,78800000,79400000,80300000,79100000,69300000,69800000,65500000,22100000,22800000,19500000,17000000,13600000,11700000,12300000,11300000,10900000,9300000,7200000,4000000,4000000,3900000,4400000,3900000,3100000,2400000,1800000,1500000
"			AccountsReceivable",707000000,747000000,748000000,678000000,643000000,673000000,628100000,500200000,709100000,782000000,698400000,700100000,658500000,701900000,702000000,710300000,670400000,746200000,734400000,664200000,598600000,636000000,672100000,637200000,625200000,399900000,429800000,447500000,409865000,426606000,476856000,503972000,496221000,472802000,502370000,499006000,468537000,442412000,467296000,462233000,461352000,,475947000,404661000,,,,,,,,,,,345477000,371489000,356629000,307622000,326012000,322900000,311005000,290791000,296066000,299048000,275106000,254822000,259920000,264637000,251259000,238873000,241869000,245439000,248387000,241385000,242937000,243813000,228857000,221262000,208355000,221316000,205958000,191534000,146568000,136452000,136358000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"				GrossAccountsReceivable",,760000000,762000000,692000000,,691000000,,537600000,740500000,811400000,728100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"				AllowanceForDoubtfulAccountsReceivable",,-13000000,-14000000,-14000000,,-18000000,,-37400000,-31400000,-29400000,-29700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
